i charge it at night and skip taking the cord with me because of the good battery life .|||O O O O O O O O O B-AP O O O O O O B-AP I-AP O
some problems can be fixed if you purchase new software , but there is no guarentee .|||O O O O O O O O O B-AP O O O O O O O
my real problem with it ? the statement of 7 hour battery life is not just mere exaggeration - it 's a lie .|||O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O
the battery life is also relatively good .|||O B-AP I-AP O O O O O
i definitely suggest getting an extended warranty , you will probably need it !|||O O O O O B-AP I-AP O O O O O O O
i have found it very easy to use , very imformative , wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs .|||O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O B-AP O B-AP O
i do n't have stupid pop up windows even when i have pop ups blocked , i do n't have to wait 5 minutes for a webpage to download , and best of all i can run all the web programming software i need to use all at once without slowing me down .|||O O O O O B-AP I-AP I-AP O O O O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O O O B-AP I-AP I-AP O O O O O O O O O O O O
memory is upgradable .|||B-AP O O O
web access through the 3g network is so slow , it 's very frustrating and very disappointing .|||B-AP I-AP O O B-AP I-AP O O O O O O O O O O O O
the large screen also helps when you are working in design based programs like adobe creative suite .|||O O B-AP O O O O O O O B-AP I-AP I-AP O B-AP I-AP I-AP O
moral of the story , -do not buy anything from companies that do not respect their customers .|||O O O O O O O O O O B-AP O O O O O O O
this is my first dell i heard their customer service was lacking and that they were working on improving it !|||O O O O O O O O B-AP I-AP O O O O O O O O O O O
as well as having the plug in the computer come loose .|||O O O O O B-AP O O O O O O
second hdd cover has walls inside that need to be broken if you what to install one .|||O B-AP I-AP O O O O O O O O O O O O O O O
if you want more information on macs i suggest going to applecom and heading towards the macbook page for more information on the applications .|||O O O O O O O O O O O O O O O O O O O O O O O B-AP O
great product by apple with the new great looking design .|||O O O O O O O O O B-AP O
i love the keyboard .|||O O O B-AP O
i use iphoto all the time , which is a great program for anyone who is into photography , amateurs and experts alike .|||O O B-AP O O O O O O O O B-AP O O O O O O O O O O O O
the screen is n't huge , but that does n't matter when i output media to the 50 inch lcd tv .|||O B-AP O O O O O O O O O O O O O O O O O O O O
i will have to purchase spy ware or nortell for privacy protection .|||O O O O O B-AP I-AP O B-AP O O O O
i was said it 's videocard .|||O O O O O B-AP O
for the price and what i get out of it has exceeded my expectations .|||O O B-AP O O O O O O O O O O O O
if your time is worth anything to you , if you are tired of rebooting , reformatting , reinstalling , trying to find drivers , if you want a computer to work for you for a change , make the change to this computer .|||O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O O
the only thing i wish is the 15 inch macbook pro has much better speakers on the side of the keyboard .|||O O O O O O O O O O O O O O B-AP O O O O O B-AP O
now , as easy as it is to use , and i do think it is a great starter laptop .|||O O O O O O O O B-AP O O O O O O O O O O O O
setting would change for some reason , the screen size would change on it 's own , like the pixel sizes and whatnot .|||B-AP O O O O O O O B-AP I-AP O O O O O O O O O B-AP I-AP O O O
it had some kind of pre installed software update that completely shut the computer down when you clicked it .|||O O O O O B-AP I-AP I-AP I-AP O O O O O O O O O O O
ever since i bought this laptop , so far i 've experience nothing but constant break downs of the laptop and bad customer services i received over the phone with toshiba customer services hotlines .|||O O O O O O O O O O O O O O O O O O O O O O B-AP I-AP O O O O O O O B-AP I-AP O O
also , the space bar makes a noisy click every time you use it .|||O O O B-AP I-AP O O O O O O O O O O
iphotos is an excellent program for storing and organizing photos .|||B-AP O O O B-AP O O O O O O
other than that its a great performing machine and well meets all my needs and more .|||O O O O O O B-AP O O O O O O O O O O
called tech support and got the usual acer we do n't support software but for $ $ $ we can help you i explained there was no software involved in booting .|||O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O B-AP O O B-AP O
the programs are great , like iphoto love the editing capabilities , imail which can incorporate with the address book on the ipod and ipad , imovie , etc .|||O B-AP O O O O B-AP O O O O O B-AP O O O O O O O O O O O O O B-AP O O O
the only thing i did n't learn in my research was the software i would need like privacy protection and warranty protection , in case it gets broken , or crashes etc .|||O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O
comfterbale to use light easy to transport .|||O O B-AP O O O B-AP O
the computer itself is a good product but the repair depot stinks .|||O O O O O O O O O B-AP I-AP O O
i thought the price was great for the specs .|||O O O B-AP O O O O B-AP O
the only down fall is that it has no cd drive but i found that they are very cheap to by and also very portable making this the best friend to someone who is always looking for more space then they have .|||O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
so , the hard disk capacity really does n't matter to me .|||O O O B-AP I-AP I-AP O O O O O O O
keys stick periodically and i havent had the laptop for 45 days yet .|||B-AP O O O O O O O O O O O O O
i also like that you can scroll down in a window using two fingers on the trackpad .|||O O O O O O O O O O O O O O O O B-AP O
everything from the design to the os is simple and to the point .|||O O O B-AP O O B-AP O O O O O O O
i'v spent as much for shipping as i would to buy a new netbook - of course a different brand .|||O O O O O B-AP O O O O O O O O O O O O O O O
i personally like the gaming look but needed a machine that delivered gaming performance while still looking professional in front of my customers .|||O O O O B-AP I-AP O O O O O O B-AP I-AP O O O O O O O O O O
this just keeps having it 's hard drive replaced !|||O O O O O O B-AP I-AP O O
when you look at the specs on apple products in comparison to a dell or a hp , yes they do seem to offer less for a higher cost .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O
the only downfall is the volume control .|||O O O O O B-AP I-AP O
very fast boot up and shut down .|||O O B-AP I-AP O B-AP I-AP O
i finally decided on this laptop because it was the right price for what i need it .|||O O O O O O O O O O O B-AP O O O O O O
if internet connectivity is important i would recommend going with a dell net book for 50 bucks more , or buy a usb wireless card .|||O B-AP I-AP O O O O O O O O O O O O O O O O O O O B-AP I-AP I-AP O
i had read online that some users were having sound problems .|||O O O O O O O O O B-AP O O
my last computer , a toshiba , cost only $ 400 , and worked like a charm for many years .|||O O O O O O O B-AP O O O O O O O O O O O O O
it discharges too quickly .|||O B-AP O O O
but to be honest , the compatibility issues and the other little quirks make me think i ll buy a pc next time .|||O O O O O O B-AP O O O O O O O O O O O O O O O O O
then it ceased charging at all .|||O O O B-AP O O O
i do not experience a lot of heat coming out of it , however i would highly suggest purchasing a stand however , due to the nature of the design of the macbook as it is one very large heat sink .|||O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O B-AP O O O O O O O O O B-AP I-AP O
i am not much of a computer techie , so i can understand some of the internal problems , though i do have trend micro as an antiviral program .|||O O O O O O O O O O O O O O O O O O O O O O O B-AP I-AP O O B-AP I-AP O
the computer continued to give me issues and in late june it completely died again and i tried to call acer again to get it fixed and they refused to help me , they said my warrenty was up and hung up on me .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O
i 've have n't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off .|||O O O O O O O O O O O O O O B-AP I-AP O O O B-AP I-AP I-AP O O O O O
wonderful sleek case design is only on the outside .|||O O B-AP I-AP O O O O O O
it is speedy when connected wirelessly to any network regardless if the connection is weak or not .|||O O O O O O O O O O O O B-AP O O O O O
the pricing is very competitive .|||O B-AP O O O O
connecting to my wireless router via built-in wireless took no time at all .|||O O O O O O B-AP I-AP O O O O O O
this computer is exceptionally thin for it 's screen size and processing power .|||O O O O O O O O B-AP I-AP O B-AP I-AP O
i have not had a problem with the applications quitting or freezing .|||O O O O O O O O B-AP O O O O
maybe this is virus related , maybe not , but the computer has locked up many times , and on two occasions , the screen has simply gone black .|||O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O
this wiped out several programs that were installed on the computer when it was bought .|||O O O O B-AP O O O O O O O O O O O
it 's graphics are n't bad at all , for the lower end of the macbook pro spectrum , easily capable of running starcraft ii and other games with comparable graphics .|||O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O
i have vista , so i am unable to install and unaspect2 some programs .|||O O B-AP O O O O O O B-AP O O O B-AP O
the screen is bright and vivid and the keyboard is very easy to use , very important for use quick typers .|||O B-AP O O O O O O B-AP O O O O O O O O O O O O O
the mouse jumps around all the time and it clicks stuff i do n't want it too .|||O B-AP O O O O O O O O O O O O O O O O
for those that care about noise this thing does n't really make any ;|||O O O O O B-AP O O O O O O O O
i had my iworks , itunes , email , ms office , network and printers set up and completely working perfectly within an hour .|||O O O B-AP O B-AP O O O B-AP I-AP O O O O O O O O O O O O O O
